Node Number	X Location (in)	Y Location (in)	Z Location (in)	Directional Deformation (in)
108	30.857	2.1429	6.9936e-002	-1.086e-003
109	31.714	2.1429	-1.4301	-1.2464e-003
110	31.714	2.1429	-0.68006	-1.2464e-003
111	31.714	2.1429	6.9936e-002	-1.2463e-003
112	32.571	2.1429	-1.4301	-1.4131e-003
113	32.571	2.1429	-0.68006	-1.4131e-003
114	32.571	2.1429	6.9936e-002	-1.4131e-003
115	33.429	2.1429	-1.4301	-1.5861e-003
116	33.429	2.1429	-0.68006	-1.586e-003
117	33.429	2.1429	6.9936e-002	-1.586e-003
118	34.286	2.1429	-1.4301	-1.7683e-003
119	34.286	2.1429	-0.68006	-1.7682e-003
120	34.286	2.1429	6.9936e-002	-1.7682e-003
121	35.143	2.1429	-1.4301	-1.9631e-003
122	35.143	2.1429	-0.68006	-1.963e-003
123	35.143	2.1429	6.9936e-002	-1.963e-003
124	0.85714	1.2857	-1.4301	-1.209e-004
125	0.85714	1.2857	-0.68006	-1.2078e-004
126	0.85714	1.2857	6.9936e-002	-1.2068e-004
127	1.7143	1.2857	-1.4301	-1.7103e-004
128	1.7143	1.2857	-0.68006	-1.7092e-004
129	1.7143	1.2857	6.9936e-002	-1.7081e-004
130	2.5714	1.2857	-1.4301	-2.2229e-004
131	2.5714	1.2857	-0.68006	-2.2217e-004
132	2.5714	1.2857	6.9936e-002	-2.2207e-004
133	3.4286	1.2857	-1.4301	-2.7293e-004
134	3.4286	1.2857	-0.68006	-2.7282e-004
135	3.4286	1.2857	6.9936e-002	-2.7271e-004
136	4.2857	1.2857	-1.4301	-3.2166e-004
137	4.2857	1.2857	-0.68006	-3.2155e-004
138	4.2857	1.2857	6.9936e-002	-3.2144e-004
139	5.1429	1.2857	-1.4301	-3.6751e-004
140	5.1429	1.2857	-0.68006	-3.6741e-004
141	5.1429	1.2857	6.9936e-002	-3.673e-004
142	6.	1.2857	-1.4301	-4.0975e-004
143	6.	1.2857	-0.68006	-4.0965e-004
144	6.	1.2857	6.9936e-002	-4.0954e-004
145	6.8571	1.2857	-1.4301	-4.4777e-004
146	6.8571	1.2857	-0.68006	-4.4767e-004
147	6.8571	1.2857	6.9936e-002	-4.4757e-004
148	7.7143	1.2857	-1.4301	-4.8111e-004
149	7.7143	1.2857	-0.68006	-4.8101e-004
150	7.7143	1.2857	6.9936e-002	-4.8091e-004
151	8.5714	1.2857	-1.4301	-5.0951e-004
152	8.5714	1.2857	-0.68006	-5.0941e-004
153	8.5714	1.2857	6.9936e-002	-5.0932e-004
154	9.4286	1.2857	-1.4301	-5.3294e-004
155	9.4286	1.2857	-0.68006	-5.3284e-004
156	9.4286	1.2857	6.9936e-002	-5.3275e-004
157	10.286	1.2857	-1.4301	-5.5178e-004
158	10.286	1.2857	-0.68006	-5.5169e-004
159	10.286	1.2857	6.9936e-002	-5.516e-004
160	11.143	1.2857	-1.4301	-5.6543e-004
161	11.143	1.2857	-0.68006	-5.6535e-004
162	11.143	1.2857	6.9936e-002	-5.6526e-004
163	12.	1.2857	-1.4301	-5.6271e-004
164	12.	1.2857	-0.68006	-5.6263e-004
165	12.	1.2857	6.9936e-002	-5.6254e-004
166	12.857	1.2857	-1.4301	-5.3361e-004
167	12.857	1.2857	-0.68006	-5.3353e-004
168	12.857	1.2857	6.9936e-002	-5.3345e-004
169	13.714	1.2857	-1.4301	-4.8933e-004
170	13.714	1.2857	-0.68006	-4.8926e-004
171	13.714	1.2857	6.9936e-002	-4.8918e-004
172	14.571	1.2857	-1.4301	-4.4228e-004
173	14.571	1.2857	-0.68006	-4.4221e-004
174	14.571	1.2857	6.9936e-002	-4.4213e-004
175	15.429	1.2857	-1.4301	-3.9426e-004
176	15.429	1.2857	-0.68006	-3.9419e-004
177	15.429	1.2857	6.9936e-002	-3.9412e-004
178	16.286	1.2857	-1.4301	-3.4609e-004
179	16.286	1.2857	-0.68006	-3.4602e-004
180	16.286	1.2857	6.9936e-002	-3.4595e-004
181	17.143	1.2857	-1.4301	-2.9902e-004
182	17.143	1.2857	-0.68006	-2.9895e-004
183	17.143	1.2857	6.9936e-002	-2.9889e-004
184	18.	1.2857	-1.4301	-2.5453e-004
185	18.	1.2857	-0.68006	-2.5447e-004
186	18.	1.2857	6.9936e-002	-2.5441e-004
187	18.857	1.2857	-1.4301	-2.1437e-004
188	18.857	1.2857	-0.68006	-2.1431e-004
189	18.857	1.2857	6.9936e-002	-2.1425e-004
190	19.714	1.2857	-1.4301	-1.8044e-004
191	19.714	1.2857	-0.68006	-1.8038e-004
192	19.714	1.2857	6.9936e-002	-1.8033e-004
193	20.571	1.2857	-1.4301	-1.5488e-004
194	20.571	1.2857	-0.68006	-1.5482e-004
195	20.571	1.2857	6.9936e-002	-1.5477e-004
196	21.429	1.2857	-1.4301	-1.4015e-004
197	21.429	1.2857	-0.68006	-1.401e-004
198	21.429	1.2857	6.9936e-002	-1.4005e-004
199	22.286	1.2857	-1.4301	-1.3913e-004
200	22.286	1.2857	-0.68006	-1.3908e-004
201	22.286	1.2857	6.9936e-002	-1.3903e-004
202	23.143	1.2857	-1.4301	-1.5499e-004
203	23.143	1.2857	-0.68006	-1.5494e-004
204	23.143	1.2857	6.9936e-002	-1.5489e-004
205	24.	1.2857	-1.4301	-1.9054e-004
206	24.	1.2857	-0.68006	-1.905e-004
207	24.	1.2857	6.9936e-002	-1.9045e-004
208	24.857	1.2857	-1.4301	-2.4718e-004
209	24.857	1.2857	-0.68006	-2.4713e-004
210	24.857	1.2857	6.9936e-002	-2.4709e-004
211	25.714	1.2857	-1.4301	-3.2412e-004
212	25.714	1.2857	-0.68006	-3.2407e-004
213	25.714	1.2857	6.9936e-002	-3.2403e-004
214	26.571	1.2857	-1.4301	-4.1913e-004
215	26.571	1.2857	-0.68006	-4.1909e-004
216	26.571	1.2857	6.9936e-002	-4.1904e-004
217	27.429	1.2857	-1.4301	-5.2965e-004
218	27.429	1.2857	-0.68006	-5.2961e-004
219	27.429	1.2857	6.9936e-002	-5.2956e-004
220	28.286	1.2857	-1.4301	-6.5339e-004
221	28.286	1.2857	-0.68006	-6.5334e-004
222	28.286	1.2857	6.9936e-002	-6.533e-004
223	29.143	1.2857	-1.4301	-7.8846e-004
224	29.143	1.2857	-0.68006	-7.8842e-004
225	29.143	1.2857	6.9936e-002	-7.8837e-004
226	30.	1.2857	-1.4301	-9.3329e-004
227	30.	1.2857	-0.68006	-9.3325e-004
228	30.	1.2857	6.9936e-002	-9.3321e-004
229	30.857	1.2857	-1.4301	-1.0865e-003
230	30.857	1.2857	-0.68006	-1.0865e-003
231	30.857	1.2857	6.9936e-002	-1.0865e-003
232	31.714	1.2857	-1.4301	-1.2471e-003
233	31.714	1.2857	-0.68006	-1.247e-003
234	31.714	1.2857	6.9936e-002	-1.247e-003
235	32.571	1.2857	-1.4301	-1.4141e-003
236	32.571	1.2857	-0.68006	-1.414e-003
237	32.571	1.2857	6.9936e-002	-1.414e-003
238	33.429	1.2857	-1.4301	-1.5874e-003
239	33.429	1.2857	-0.68006	-1.5874e-003
240	33.429	1.2857	6.9936e-002	-1.5873e-003
241	34.286	1.2857	-1.4301	-1.7681e-003
242	34.286	1.2857	-0.68006	-1.768e-003
243	34.286	1.2857	6.9936e-002	-1.768e-003
244	35.143	1.2857	-1.4301	-1.9577e-003
245	35.143	1.2857	-0.68006	-1.9576e-003
246	35.143	1.2857	6.9936e-002	-1.9576e-003
247	0.85714	0.42857	-1.4301	-1.1807e-004
248	0.85714	0.42857	-0.68006	-1.1797e-004
249	0.85714	0.42857	6.9936e-002	-1.1785e-004
250	1.7143	0.42857	-1.4301	-1.6964e-004
251	1.7143	0.42857	-0.68006	-1.6953e-004
252	1.7143	0.42857	6.9936e-002	-1.6942e-004
253	2.5714	0.42857	-1.4301	-2.2199e-004
254	2.5714	0.42857	-0.68006	-2.2188e-004
255	2.5714	0.42857	6.9936e-002	-2.2176e-004
256	3.4286	0.42857	-1.4301	-2.7317e-004
257	3.4286	0.42857	-0.68006	-2.7305e-004
258	3.4286	0.42857	6.9936e-002	-2.7294e-004
259	4.2857	0.42857	-1.4301	-3.2205e-004
260	4.2857	0.42857	-0.68006	-3.2194e-004
261	4.2857	0.42857	6.9936e-002	-3.2183e-004
262	5.1429	0.42857	-1.4301	-3.679e-004
263	5.1429	0.42857	-0.68006	-3.6779e-004
264	5.1429	0.42857	6.9936e-002	-3.6769e-004
265	6.	0.42857	-1.4301	-4.1011e-004
266	6.	0.42857	-0.68006	-4.1e-004
267	6.	0.42857	6.9936e-002	-4.099e-004
268	6.8571	0.42857	-1.4301	-4.4809e-004
269	6.8571	0.42857	-0.68006	-4.4799e-004
270	6.8571	0.42857	6.9936e-002	-4.4789e-004
271	7.7143	0.42857	-1.4301	-4.8132e-004
272	7.7143	0.42857	-0.68006	-4.8122e-004
273	7.7143	0.42857	6.9936e-002	-4.8112e-004
274	8.5714	0.42857	-1.4301	-5.0931e-004
275	8.5714	0.42857	-0.68006	-5.0921e-004
276	8.5714	0.42857	6.9936e-002	-5.0911e-004
277	9.4286	0.42857	-1.4301	-5.3155e-004
278	9.4286	0.42857	-0.68006	-5.3145e-004
279	9.4286	0.42857	6.9936e-002	-5.3136e-004
280	10.286	0.42857	-1.4301	-5.47e-004
281	10.286	0.42857	-0.68006	-5.4691e-004
282	10.286	0.42857	6.9936e-002	-5.4682e-004
283	11.143	0.42857	-1.4301	-5.5329e-004
284	11.143	0.42857	-0.68006	-5.532e-004
285	11.143	0.42857	6.9936e-002	-5.5311e-004
286	12.	0.42857	-1.4301	-5.4584e-004
287	12.	0.42857	-0.68006	-5.4575e-004
288	12.	0.42857	6.9936e-002	-5.4567e-004
289	12.857	0.42857	-1.4301	-5.2147e-004
290	12.857	0.42857	-0.68006	-5.2138e-004
291	12.857	0.42857	6.9936e-002	-5.213e-004
292	13.714	0.42857	-1.4301	-4.8457e-004
293	13.714	0.42857	-0.68006	-4.8449e-004
294	13.714	0.42857	6.9936e-002	-4.8441e-004
295	14.571	0.42857	-1.4301	-4.4091e-004
296	14.571	0.42857	-0.68006	-4.4083e-004
297	14.571	0.42857	6.9936e-002	-4.4076e-004
298	15.429	0.42857	-1.4301	-3.9408e-004
299	15.429	0.42857	-0.68006	-3.9401e-004
300	15.429	0.42857	6.9936e-002	-3.9394e-004
301	16.286	0.42857	-1.4301	-3.4633e-004
302	16.286	0.42857	-0.68006	-3.4626e-004
303	16.286	0.42857	6.9936e-002	-3.4619e-004
304	17.143	0.42857	-1.4301	-2.9937e-004
305	17.143	0.42857	-0.68006	-2.9931e-004
306	17.143	0.42857	6.9936e-002	-2.9924e-004
307	18.	0.42857	-1.4301	-2.5491e-004
308	18.	0.42857	-0.68006	-2.5484e-004
309	18.	0.42857	6.9936e-002	-2.5478e-004
310	18.857	0.42857	-1.4301	-2.147e-004
311	18.857	0.42857	-0.68006	-2.1464e-004
312	18.857	0.42857	6.9936e-002	-2.1458e-004
313	19.714	0.42857	-1.4301	-1.8059e-004
314	19.714	0.42857	-0.68006	-1.8053e-004
315	19.714	0.42857	6.9936e-002	-1.8047e-004
316	20.571	0.42857	-1.4301	-1.5452e-004
317	20.571	0.42857	-0.68006	-1.5446e-004
318	20.571	0.42857	6.9936e-002	-1.5441e-004
319	21.429	0.42857	-1.4301	-1.3868e-004
320	21.429	0.42857	-0.68006	-1.3863e-004
321	21.429	0.42857	6.9936e-002	-1.3858e-004
322	22.286	0.42857	-1.4301	-1.3584e-004
323	22.286	0.42857	-0.68006	-1.3579e-004
324	22.286	0.42857	6.9936e-002	-1.3574e-004
325	23.143	0.42857	-1.4301	-1.4968e-004
326	23.143	0.42857	-0.68006	-1.4964e-004
327	23.143	0.42857	6.9936e-002	-1.4959e-004
328	24.	0.42857	-1.4301	-1.8434e-004
329	24.	0.42857	-0.68006	-1.843e-004
330	24.	0.42857	6.9936e-002	-1.8425e-004
331	24.857	0.42857	-1.4301	-2.4187e-004
332	24.857	0.42857	-0.68006	-2.4183e-004
333	24.857	0.42857	6.9936e-002	-2.4179e-004
334	25.714	0.42857	-1.4301	-3.2082e-004
335	25.714	0.42857	-0.68006	-3.2078e-004
336	25.714	0.42857	6.9936e-002	-3.2074e-004
337	26.571	0.42857	-1.4301	-4.1766e-004
338	26.571	0.42857	-0.68006	-4.1762e-004
339	26.571	0.42857	6.9936e-002	-4.1758e-004
340	27.429	0.42857	-1.4301	-5.293e-004
341	27.429	0.42857	-0.68006	-5.2925e-004
342	27.429	0.42857	6.9936e-002	-5.2921e-004
343	28.286	0.42857	-1.4301	-6.5357e-004
344	28.286	0.42857	-0.68006	-6.5353e-004
345	28.286	0.42857	6.9936e-002	-6.5349e-004
346	29.143	0.42857	-1.4301	-7.8888e-004
347	29.143	0.42857	-0.68006	-7.8884e-004
348	29.143	0.42857	6.9936e-002	-7.888e-004
349	30.	0.42857	-1.4301	-9.3388e-004
350	30.	0.42857	-0.68006	-9.3384e-004
351	30.	0.42857	6.9936e-002	-9.338e-004
352	30.857	0.42857	-1.4301	-1.0873e-003
353	30.857	0.42857	-0.68006	-1.0873e-003
354	30.857	0.42857	6.9936e-002	-1.0873e-003
355	31.714	0.42857	-1.4301	-1.2481e-003
356	31.714	0.42857	-0.68006	-1.2481e-003
357	31.714	0.42857	6.9936e-002	-1.248e-003
358	32.571	0.42857	-1.4301	-1.4153e-003
359	32.571	0.42857	-0.68006	-1.4152e-003
360	32.571	0.42857	6.9936e-002	-1.4152e-003
361	33.429	0.42857	-1.4301	-1.588e-003
362	33.429	0.42857	-0.68006	-1.5879e-003
363	33.429	0.42857	6.9936e-002	-1.5879e-003
364	34.286	0.42857	-1.4301	-1.7651e-003
365	34.286	0.42857	-0.68006	-1.7651e-003
366	34.286	0.42857	6.9936e-002	-1.765e-003
367	35.143	0.42857	-1.4301	-1.9431e-003
368	35.143	0.42857	-0.68006	-1.9431e-003
369	35.143	0.42857	6.9936e-002	-1.943e-003
370	0.85714	-0.42857	-1.4301	-1.1336e-004
371	0.85714	-0.42857	-0.68006	-1.1325e-004
372	0.85714	-0.42857	6.9936e-002	-1.1315e-004
373	1.7143	-0.42857	-1.4301	-1.6782e-004
374	1.7143	-0.42857	-0.68006	-1.6771e-004
375	1.7143	-0.42857	6.9936e-002	-1.6758e-004
376	2.5714	-0.42857	-1.4301	-2.2185e-004
377	2.5714	-0.42857	-0.68006	-2.2173e-004
378	2.5714	-0.42857	6.9936e-002	-2.2162e-004
379	3.4286	-0.42857	-1.4301	-2.7361e-004
380	3.4286	-0.42857	-0.68006	-2.7349e-004
381	3.4286	-0.42857	6.9936e-002	-2.7338e-004
382	4.2857	-0.42857	-1.4301	-3.2259e-004
383	4.2857	-0.42857	-0.68006	-3.2248e-004
384	4.2857	-0.42857	6.9936e-002	-3.2237e-004
385	5.1429	-0.42857	-1.4301	-3.6839e-004
386	5.1429	-0.42857	-0.68006	-3.6828e-004
387	5.1429	-0.42857	6.9936e-002	-3.6817e-004
388	6.	-0.42857	-1.4301	-4.1053e-004
389	6.	-0.42857	-0.68006	-4.1042e-004
390	6.	-0.42857	6.9936e-002	-4.1032e-004
391	6.8571	-0.42857	-1.4301	-4.4844e-004
392	6.8571	-0.42857	-0.68006	-4.4834e-004
393	6.8571	-0.42857	6.9936e-002	-4.4824e-004
394	7.7143	-0.42857	-1.4301	-4.8149e-004
395	7.7143	-0.42857	-0.68006	-4.8139e-004
396	7.7143	-0.42857	6.9936e-002	-4.8129e-004
397	8.5714	-0.42857	-1.4301	-5.0896e-004
398	8.5714	-0.42857	-0.68006	-5.0886e-004
399	8.5714	-0.42857	6.9936e-002	-5.0876e-004
400	9.4286	-0.42857	-1.4301	-5.2992e-004
401	9.4286	-0.42857	-0.68006	-5.2983e-004
402	9.4286	-0.42857	6.9936e-002	-5.2974e-004
403	10.286	-0.42857	-1.4301	-5.4304e-004
404	10.286	-0.42857	-0.68006	-5.4295e-004
405	10.286	-0.42857	6.9936e-002	-5.4286e-004
406	11.143	-0.42857	-1.4301	-5.4617e-004
407	11.143	-0.42857	-0.68006	-5.4609e-004
408	11.143	-0.42857	6.9936e-002	-5.46e-004
409	12.	-0.42857	-1.4301	-5.3688e-004
410	12.	-0.42857	-0.68006	-5.368e-004
411	12.	-0.42857	6.9936e-002	-5.3671e-004
412	12.857	-0.42857	-1.4301	-5.1436e-004
413	12.857	-0.42857	-0.68006	-5.1428e-004
414	12.857	-0.42857	6.9936e-002	-5.1419e-004
415	13.714	-0.42857	-1.4301	-4.8061e-004
416	13.714	-0.42857	-0.68006	-4.8053e-004
417	13.714	-0.42857	6.9936e-002	-4.8045e-004
418	14.571	-0.42857	-1.4301	-4.393e-004
419	14.571	-0.42857	-0.68006	-4.3923e-004
420	14.571	-0.42857	6.9936e-002	-4.3915e-004
421	15.429	-0.42857	-1.4301	-3.9376e-004
422	15.429	-0.42857	-0.68006	-3.9369e-004
423	15.429	-0.42857	6.9936e-002	-3.9361e-004
424	16.286	-0.42857	-1.4301	-3.4654e-004
425	16.286	-0.42857	-0.68006	-3.4647e-004
426	16.286	-0.42857	6.9936e-002	-3.464e-004
427	17.143	-0.42857	-1.4301	-2.9976e-004
428	17.143	-0.42857	-0.68006	-2.997e-004
429	17.143	-0.42857	6.9936e-002	-2.9963e-004
430	18.	-0.42857	-1.4301	-2.5535e-004
431	18.	-0.42857	-0.68006	-2.5528e-004
432	18.	-0.42857	6.9936e-002	-2.5522e-004
433	18.857	-0.42857	-1.4301	-2.1511e-004
434	18.857	-0.42857	-0.68006	-2.1505e-004
435	18.857	-0.42857	6.9936e-002	-2.1499e-004
436	19.714	-0.42857	-1.4301	-1.808e-004
437	19.714	-0.42857	-0.68006	-1.8074e-004
438	19.714	-0.42857	6.9936e-002	-1.8068e-004
439	20.571	-0.42857	-1.4301	-1.5409e-004
440	20.571	-0.42857	-0.68006	-1.5403e-004
441	20.571	-0.42857	6.9936e-002	-1.5398e-004
442	21.429	-0.42857	-1.4301	-1.3666e-004
443	21.429	-0.42857	-0.68006	-1.3661e-004
444	21.429	-0.42857	6.9936e-002	-1.3656e-004
445	22.286	-0.42857	-1.4301	-1.3089e-004
446	22.286	-0.42857	-0.68006	-1.3084e-004
447	22.286	-0.42857	6.9936e-002	-1.3079e-004
448	23.143	-0.42857	-1.4301	-1.4079e-004
449	23.143	-0.42857	-0.68006	-1.4075e-004
450	23.143	-0.42857	6.9936e-002	-1.407e-004
451	24.	-0.42857	-1.4301	-1.7314e-004
452	24.	-0.42857	-0.68006	-1.731e-004
453	24.	-0.42857	6.9936e-002	-1.7306e-004
454	24.857	-0.42857	-1.4301	-2.3298e-004
455	24.857	-0.42857	-0.68006	-2.3294e-004
456	24.857	-0.42857	6.9936e-002	-2.329e-004
457	25.714	-0.42857	-1.4301	-3.1587e-004
458	25.714	-0.42857	-0.68006	-3.1583e-004
459	25.714	-0.42857	6.9936e-002	-3.1578e-004
460	26.571	-0.42857	-1.4301	-4.1564e-004
461	26.571	-0.42857	-0.68006	-4.156e-004
462	26.571	-0.42857	6.9936e-002	-4.1556e-004
463	27.429	-0.42857	-1.4301	-5.2888e-004
464	27.429	-0.42857	-0.68006	-5.2884e-004
465	27.429	-0.42857	6.9936e-002	-5.288e-004
466	28.286	-0.42857	-1.4301	-6.5383e-004
467	28.286	-0.42857	-0.68006	-6.5379e-004
468	28.286	-0.42857	6.9936e-002	-6.5375e-004
469	29.143	-0.42857	-1.4301	-7.8941e-004
470	29.143	-0.42857	-0.68006	-7.8937e-004
471	29.143	-0.42857	6.9936e-002	-7.8933e-004
472	30.	-0.42857	-1.4301	-9.3458e-004
473	30.	-0.42857	-0.68006	-9.3453e-004
474	30.	-0.42857	6.9936e-002	-9.3449e-004
475	30.857	-0.42857	-1.4301	-1.0882e-003
476	30.857	-0.42857	-0.68006	-1.0882e-003
477	30.857	-0.42857	6.9936e-002	-1.0881e-003
478	31.714	-0.42857	-1.4301	-1.2491e-003
479	31.714	-0.42857	-0.68006	-1.2491e-003
480	31.714	-0.42857	6.9936e-002	-1.249e-003
481	32.571	-0.42857	-1.4301	-1.4161e-003
482	32.571	-0.42857	-0.68006	-1.4161e-003
483	32.571	-0.42857	6.9936e-002	-1.416e-003
484	33.429	-0.42857	-1.4301	-1.5877e-003
485	33.429	-0.42857	-0.68006	-1.5876e-003
486	33.429	-0.42857	6.9936e-002	-1.5876e-003
487	34.286	-0.42857	-1.4301	-1.7616e-003
488	34.286	-0.42857	-0.68006	-1.7616e-003
489	34.286	-0.42857	6.9936e-002	-1.7616e-003
490	35.143	-0.42857	-1.4301	-1.9341e-003
491	35.143	-0.42857	-0.68006	-1.934e-003
492	35.143	-0.42857	6.9936e-002	-1.934e-003
493	0.85714	-1.2857	-1.4301	-1.0665e-004
494	0.85714	-1.2857	-0.68006	-1.0682e-004
495	0.85714	-1.2857	6.9936e-002	-1.0644e-004
496	1.7143	-1.2857	-1.4301	-1.665e-004
497	1.7143	-1.2857	-0.68006	-1.6639e-004
498	1.7143	-1.2857	6.9936e-002	-1.6622e-004
499	2.5714	-1.2857	-1.4301	-2.2212e-004
500	2.5714	-1.2857	-0.68006	-2.2202e-004
501	2.5714	-1.2857	6.9936e-002	-2.2186e-004
502	3.4286	-1.2857	-1.4301	-2.7422e-004
503	3.4286	-1.2857	-0.68006	-2.741e-004
504	3.4286	-1.2857	6.9936e-002	-2.7398e-004
505	4.2857	-1.2857	-1.4301	-3.2314e-004
506	4.2857	-1.2857	-0.68006	-3.2303e-004
507	4.2857	-1.2857	6.9936e-002	-3.2291e-004
508	5.1429	-1.2857	-1.4301	-3.6883e-004
509	5.1429	-1.2857	-0.68006	-3.6872e-004
510	5.1429	-1.2857	6.9936e-002	-3.6861e-004
511	6.	-1.2857	-1.4301	-4.1089e-004
512	6.	-1.2857	-0.68006	-4.1078e-004
513	6.	-1.2857	6.9936e-002	-4.1067e-004
514	6.8571	-1.2857	-1.4301	-4.4872e-004
